"uniprot_id","model","sample_idx","isoelectric_point","charge_at_ph7","charge_per_residue","buffer_capacity","acidic_residue_fraction","basic_residue_fraction","ionizable_residue_fraction","surface_acidic_fraction","surface_basic_fraction","surface_net_charge","surface_ionizable_fraction"
"O67786","ProteinMPNN",0,4.82997303009033,-12.2699771258527,-0.0550223189500119,1.52359196412209,0.183856502242152,0.139013452914798,0.354260089686099,0.272727272727273,0.212121212121212,-0.0681818181818181,0.484848484848485
"O67786","ProteinMPNN",1,4.96564769744873,-9.3511345679634,-0.041933338869791,1.26916590357678,0.188340807174888,0.152466367713004,0.376681614349776,0.298387096774194,0.25,-0.0564516129032258,0.548387096774194
"O67786","ProteinMPNN",2,5.23836116790771,-5.3733881669951,-0.0240959110627582,1.25432067223722,0.165919282511211,0.147982062780269,0.354260089686099,0.246268656716418,0.238805970149254,-0.0149253731343283,0.485074626865672
"O67786","ProteinMPNN",3,5.00623073577881,-10.1894776437264,-0.0456927248597598,1.77948672193881,0.183856502242152,0.152466367713004,0.376681614349776,0.282051282051282,0.264957264957265,-0.0341880341880341,0.547008547008547
"O67786","ProteinMPNN",4,4.58368968963623,-15.3637222187617,-0.0688956153307698,1.25799621225481,0.174887892376682,0.112107623318386,0.322869955156951,0.266666666666667,0.177777777777778,-0.0962962962962963,0.444444444444444
"O67786","ProteinMPNN",5,4.99781856536865,-6.36822539522354,-0.0285570645525719,1.04115229644592,0.134529147982063,0.112107623318386,0.273542600896861,0.188405797101449,0.173913043478261,-0.0217391304347826,0.36231884057971
"O67786","ProteinMPNN",6,5.01447238922119,-10.1877779427931,-0.0456851028824801,1.78751023500575,0.183856502242152,0.152466367713004,0.37219730941704,0.24822695035461,0.219858156028369,-0.0354609929078014,0.468085106382979
"O67786","ProteinMPNN",7,4.69588985443115,-14.2243130033247,-0.0637861569655814,1.65921181604806,0.165919282511211,0.116591928251121,0.318385650224215,0.233082706766917,0.172932330827068,-0.075187969924812,0.406015037593985
"Q980U8","ProteinMPNN",0,6.04303073883057,-3.89765522437886,-0.0111680665454981,2.90765862571565,0.186246418338109,0.191977077363897,0.406876790830946,0.213793103448276,0.224137931034483,-0.0103448275862068,0.437931034482759
"Q980U8","ProteinMPNN",1,5.20584926605224,-12.8833744921017,-0.0369151131578844,2.81145235324153,0.183381088825215,0.163323782234957,0.372492836676218,0.209558823529412,0.191176470588235,-0.0367647058823529,0.400735294117647
"Q980U8","ProteinMPNN",2,5.12860507965088,-11.9999079989875,-0.0343836905415115,2.46498730518481,0.157593123209169,0.137535816618911,0.326647564469914,0.20532319391635,0.178707224334601,-0.0456273764258555,0.384030418250951
"Q980U8","ProteinMPNN",3,5.2484785079956,-10.9977359265277,-0.0315121373252942,2.61577519056485,0.166189111747851,0.148997134670487,0.346704871060172,0.2,0.181818181818182,-0.0327272727272727,0.381818181818182
"Q980U8","ProteinMPNN",4,4.92779293060303,-18.0537620629755,-0.0517299772578093,2.40684884046304,0.200573065902579,0.160458452722063,0.39541547277937,0.243542435424354,0.199261992619926,-0.055350553505535,0.44280442804428
"Q980U8","ProteinMPNN",5,5.12860507965088,-11.9734448953346,-0.034307865029612,2.34897195447657,0.154727793696275,0.134670487106017,0.320916905444126,0.200873362445415,0.161572052401747,-0.0480349344978165,0.362445414847161
"Q980U8","ProteinMPNN",6,4.89181385040283,-18.7741172827915,-0.0537940323289153,2.29997643745242,0.186246418338109,0.143266475644699,0.361031518624642,0.245059288537549,0.185770750988142,-0.0711462450592885,0.430830039525692
"Q980U8","ProteinMPNN",7,6.01517963409424,-3.88892009239024,-0.0111430375140121,2.67254575441684,0.160458452722063,0.166189111747851,0.349570200573066,0.2,0.215384615384615,-0.0038461538461538,0.415384615384615
"O58832","ProteinMPNN",0,5.04084568023682,-13.8776105012524,-0.0405778084831941,2.07563290153932,0.187134502923977,0.154970760233918,0.383040935672515,0.276595744680851,0.24468085106383,-0.0478723404255319,0.521276595744681
