uniprot_id,model,sample_idx,scTM,scRMSD,pLDDT
Q4R312,AlkSecMPNN_020,3,0.7128471667282088,2.075099567846,75.60707317073171
Q9Z9J6,AlkSecMPNN_020,7,0.9694919828975728,0.4980870902929321,91.56532258064514
Q6L047,AcidSecMPNN_020,7,0.2772606319722476,6.67759743673083,33.43607242339833
O28542,AcidSecMPNN_020,2,0.4003181943161756,4.837161854438296,47.41276470588235
Q54JL0,AlkSecMPNN_020,1,0.3252981263176612,6.035567600393952,41.614028436018955
P80505,AcidSecMPNN_020,6,0.3550949355485025,5.260378039277056,39.90272997032641
P60724,WT_singleseq(control),-1,0.2474179150938887,5.613844180761466,34.31094527363184
Q07938,AcidSecMPNN_020,2,0.3071383405978273,5.433072970672239,38.23786350148368
Q6L047,AlkSecMPNN_020,4,0.2605537379461846,7.078770186491338,36.050473537604454
Q69NP0,AlkSecMPNN_020,4,0.930824654462713,1.2884764382001903,83.48903225806453
Q69NP0,AlkSecMPNN_020,1,0.9224219148002508,1.3366766574284836,85.77913978494625
B1X495,AlkSecMPNN_020,0,0.5375344572802029,2.8758310525704465,84.99825242718448
A0A1D8PCG7,AlkSecMPNN_020,3,0.3508927361204265,3.823698093332844,69.59402298850576
A0A1D8PCG7,AlkSecMPNN_020,5,0.4512256441185033,3.063165239980667,70.517816091954
P80505,AlkSecMPNN_020,2,0.4395918189063184,4.783839590186232,48.221364985163206
P60724,AlkSecMPNN_020,3,0.2639231380126404,4.276901339780387,51.191940298507454
O67786,AlkSecMPNN_020,2,0.8983721261400104,1.791211018298983,83.26479820627804
P60724,AcidSecMPNN_020,2,0.4377095794607207,3.329772485853342,51.60800995024875
O67786,AlkSecMPNN_020,4,0.694867211224208,3.126465814907325,80.95869955156951
Q9Z9J6,AcidSecMPNN_020,5,0.3884921816219258,3.328790154791774,66.13870967741934
P60724,AcidSecMPNN_020,4,0.5824101152346649,3.177348368940635,49.0489552238806
O28542,AlkSecMPNN_020,6,0.4504108616551048,5.192205329728842,59.09282352941176
O67786,AcidSecMPNN_020,0,0.6505522497696005,4.120146809613771,65.89004484304932
P0A7R6,AcidSecMPNN_020,0,0.8442881500637408,2.0130943022917425,74.55048543689318
A9CIG1,AlkSecMPNN_020,6,0.4525034100142931,3.9862866473654734,78.58396039603961
A0A1D8PCG7,AcidSecMPNN_020,7,0.6165626181687298,2.3283640644421117,69.75011494252873
A0A1D8PCG7,AcidSecMPNN_020,1,0.5917961767213196,2.8144879546209873,67.53172413793102
Q8DLT5,AlkSecMPNN_020,0,0.3238465225892589,7.06573908376602,60.287572383073496
Q07938,WT_singleseq(control),-1,0.2522169173487639,6.6638440964525705,30.305637982195847
Q9N2D5,AcidSecMPNN_020,5,0.4220012495370623,4.685206700794355,44.882822822822824
Q980U8,AlkSecMPNN_020,4,0.332966463172389,5.334611206225382,47.4630659025788
Q8TY15,AcidSecMPNN_020,5,0.2773948122889946,6.083727205228724,36.2329916897507
O58832,AcidSecMPNN_020,6,0.4884369143738459,5.6843943993096815,60.283508771929824
P02819,AcidSecMPNN_020,0,0.7091557992771573,2.249642446580874,78.7861224489796
G0HQ35,AlkSecMPNN_020,1,0.2866799040787245,6.1926014565527625,50.21097765363128
O58832,AlkSecMPNN_020,5,0.6762317350799033,4.646415600755619,69.12596491228071
O58832,AcidSecMPNN_020,0,0.5319337847162164,5.501364028002237,57.10377192982457
O58832,WT_singleseq(control),-1,0.3636099666279515,5.869472404030879,46.557836257309944
Q6DIY2,AlkSecMPNN_020,1,0.4324972651814927,3.707588112169309,49.658156424581016
G0HQ35,AlkSecMPNN_020,7,0.4141412936783989,5.056562787529408,60.37754189944134
Q9N2D5,AlkSecMPNN_020,3,0.2886419814682152,5.364760340075469,42.852642642642635
B1YC30,AcidSecMPNN_020,2,0.2284892873067321,5.443009113256475,44.470572519083966
