uniprot_id,domain,rank_class,sequence_length,mw_per_residue,isoelectric_point,charge_at_ph7,acidic_residue_fraction,basic_residue_fraction,gravy,aromaticity,instability_index,proline_fraction,small_residue_fraction,ordered_percent,helix_sheet_contrast,rco,avg_cb_distance,surface_exposure
O67786,Bacteria,Top,223,115.66512197309416,5.527444267272949,-5.170467448126246,0.18385650224215244,0.17488789237668162,-0.4847533632286996,0.10762331838565023,37.07847533632285,0.04484304932735426,0.20627802690582958,0.8923766816143498,0.07623318385650224,0.11238239690495033,18.04413414001465,0.3004484304932735
Q980U8,Archaea,Top,349,113.45885558739255,7.699148368835449,0.7582907343688561,0.16332378223495703,0.17191977077363896,-0.46418338108882523,0.06590257879656161,46.04787965616046,0.04011461318051576,0.22063037249283668,0.8710601719197708,0.2979942693409743,0.03615152755553901,28.511545181274414,0.3008595988538682
O58832,Archaea,Top,342,112.466015497076,8.837858009338383,5.40711487536862,0.13742690058479531,0.18128654970760233,-0.13742690058479534,0.07894736842105263,42.29093567251461,0.049707602339181284,0.22807017543859648,0.8187134502923976,-0.1286549707602339,0.1040889985380117,22.67475128173828,0.30116959064327486
Q9Z9J6,Bacteria,Top,62,112.37274193548389,10.151272392272947,3.683141429328039,0.0967741935483871,0.1935483870967742,-0.24516129032258063,0.0,60.490322580645156,0.016129032258064516,0.24193548387096775,0.8225806451612903,-0.11290322580645157,0.404868578255675,12.839716911315918,0.3064516129032258
P02819,Eukaryota,Bottom,49,117.21129387755101,4.395382118225098,-5.1600148298227095,0.1836734693877551,0.10204081632653061,-0.6673469387755102,0.163265306122449,63.9961224489796,0.14285714285714288,0.14285714285714285,0.7755102040816326,0.44897959183673475,0.15306122448979592,13.960816383361816,0.30612244897959184
Q4R312,Eukaryota,Bottom,82,112.6847012195122,4.0500284194946286,-14.442676605598429,0.23170731707317074,0.07317073170731707,-0.3231707317073171,0.10975609756097561,54.18426829268291,0.06097560975609756,0.1951219512195122,0.7317073170731707,-0.5365853658536586,0.16442674630827941,12.187813758850098,0.3048780487804878
Q54FJ9,Eukaryota,Bottom,306,108.39139803921569,6.163472557067871,-2.9442328831966087,0.1045751633986928,0.11764705882352941,-0.04836601307189545,0.06535947712418301,44.9669934640523,0.05228758169934641,0.29411764705882354,0.8594771241830066,0.14052287581699346,0.06620783596802524,20.292688369750977,0.3006535947712418
Q54JL0,Eukaryota,Bottom,633,116.12538578199052,6.070540809631347,-3.9468758571078553,0.12954186413902055,0.13270142180094788,-0.5624012638230648,0.10900473933649289,44.76766192733029,0.04897314375987362,0.18483412322274884,0.8562401263823065,-0.06319115323854657,0.03793953774387706,33.51777648925781,0.3001579778830964
Q69NP0,Eukaryota,Bottom,93,112.4824752688172,9.049249839782714,1.6787182449793612,0.08602150537634408,0.12903225806451613,-0.10107526881720433,0.11827956989247312,37.89247311827957,0.03225806451612903,0.23655913978494622,0.6236559139784946,-0.30107526881720426,0.26317859952793077,14.0884428024292,0.3010752688172043
P0A7R6,Bacteria,Neutral,103,113.9363203883495,9.681040000915527,2.781592106869107,0.13592233009708737,0.1941747572815534,-0.3524271844660194,0.02912621359223301,18.05533980582524,0.04854368932038835,0.22330097087378642,0.8446601941747572,-0.24271844660194175,0.43993285545776245,15.808676719665527,0.30097087378640774
P60724,Bacteria,Neutral,201,109.88187960199005,9.724362754821776,7.788931908681736,0.11940298507462688,0.17412935323383083,-0.2353233830845771,0.04975124378109453,29.67363184079602,0.02487562189054726,0.2985074626865672,0.8109452736318408,-0.07462686567164178,0.04824713641096841,21.689769744873047,0.29850746268656714
Q07938,Eukaryota,Neutral,337,112.33275637982196,7.6698194503784185,1.4457147840008204,0.10089020771513352,0.13649851632047477,-0.24510385756676561,0.0919881305637982,40.553115727002975,0.06528189910979228,0.258160237388724,0.7922848664688428,-0.2522255192878339,0.05649851632047478,24.969430923461914,0.2997032640949555
B1X495,Eukaryota,Top,103,112.0356126213592,6.131585884094237,-0.49631947310893487,0.06796116504854369,0.06796116504854369,0.9097087378640777,0.0970873786407767,31.835922330097084,0.0,0.2524271844660194,0.9805825242718447,0.883495145631068,0.16532011677642744,15.0147066116333,0.30097087378640774
A9CIG1,Bacteria,Bottom,101,112.96405544554456,11.775811195373539,20.489811054628838,0.0594059405940594,0.26732673267326734,-0.6811881188118811,0.039603960396039604,51.795148514851476,0.039603960396039604,0.29702970297029707,0.900990099009901,0.6039603960396039,0.06581246359930111,20.68660545349121,0.297029702970297
Q6L047,Archaea,Bottom,359,112.70883565459609,5.562798118591308,-6.97270472551795,0.14206128133704737,0.1392757660167131,-0.32089136490250697,0.10027855153203342,31.63933147632313,0.04178272980501393,0.23119777158774374,0.8662952646239555,-0.3983286908077994,0.05675090894093311,26.86465835571289,0.3008356545961003
A9A498,Archaea,Neutral,287,106.71375470383276,10.071847343444823,18.858087099896405,0.07317073170731707,0.15331010452961674,0.15505226480836234,0.038327526132404185,19.57003484320557,0.04878048780487805,0.31010452961672474,0.8188153310104529,0.05923344947735193,0.06708863369276127,23.099693298339844,0.29965156794425085
A0A1D8PCG7,Eukaryota,Bottom,87,110.78966206896551,7.855617713928223,0.58946551285187,0.13793103448275862,0.16091954022988506,-0.571264367816092,0.05747126436781609,16.102298850574712,0.011494252873563218,0.28735632183908044,0.896551724137931,-0.48275862068965525,0.3010797631487287,13.452479362487793,0.2988505747126437
O28542,Archaea,Top,340,110.64401764705883,5.606962013244629,-6.022770537712766,0.15000000000000002,0.14705882352941177,-0.11529411764705884,0.06470588235294118,28.577058823529406,0.04117647058823529,0.25,0.8823529411764706,-0.19999999999999996,0.05806144320076209,24.650402069091797,0.3
Q8TY15,Archaea,Top,361,110.79682299168974,4.812466621398925,-23.468048837913273,0.1662049861495845,0.13019390581717452,-0.32576177285318564,0.06648199445983378,26.345983379501384,0.06925207756232686,0.2409972299168975,0.8559556786703602,-0.30193905817174516,0.09122845410934054,25.812255859375,0.29916897506925205
B1YC30,Archaea,Neutral,262,112.71295687022901,6.455681800842284,-1.184000550678931,0.13358778625954199,0.1450381679389313,-0.08091603053435116,0.08015267175572519,44.061832061068706,0.05343511450381679,0.23282442748091603,0.7786259541984732,-0.16793893129770993,0.10413850869010678,21.599468231201172,0.3015267175572519
P80505,Bacteria,Bottom,337,108.34429673590503,6.0040391921997065,-3.8937511362643207,0.11275964391691394,0.12166172106824925,-0.11394658753709198,0.05934718100890207,14.111572700296731,0.029673590504451036,0.3056379821958457,0.8367952522255193,-0.3916913946587537,0.07142146448240948,25.385953903198242,0.2997032640949555
Q9N2D5,Eukaryota,Neutral,333,107.54520270270272,8.21083850860596,2.362736840882093,0.1021021021021021,0.13813813813813813,-0.08588588588588589,0.07807807807807808,16.439339339339334,0.036036036036036036,0.3153153153153153,0.8588588588588588,-0.13813813813813813,0.053511165889016055,24.849674224853516,0.3003003003003003
Q6DIY2,Eukaryota,Bottom,179,120.07751284916202,4.964851951599121,-11.846494687006864,0.18435754189944134,0.1564245810055866,-0.7558659217877096,0.12849162011173185,35.42351955307262,0.05027932960893855,0.16201117318435754,0.8882681564245809,-0.329608938547486,0.13405577617733505,18.22941780090332,0.3016759776536313
G0HQ35,Archaea,Bottom,358,111.47737430167598,4.696060371398924,-31.099359464654356,0.1871508379888268,0.13966480446927373,-0.7620111731843576,0.08379888268156424,29.317877094972076,0.05027932960893855,0.32122905027932963,0.717877094972067,-0.3715083798882681,0.049214089574850864,28.23225212097168,0.3016759776536313
Q8DLT5,Bacteria,Neutral,449,108.17727527839645,6.097880363464354,-6.19634641186169,0.0957683741648107,0.1135857461024499,-0.10712694877505569,0.0467706013363029,38.110467706013374,0.0467706013363029,0.2850779510022272,0.8262806236080178,-0.3986636971046771,0.08155747846864718,28.29746437072754,0.30066815144766146
