uniprot_id,model,sample_idx,domain,rank_class,sequence_length,mw_per_residue,isoelectric_point,charge_at_ph7,acidic_residue_fraction,basic_residue_fraction,gravy,aromaticity,instability_index,proline_fraction,small_residue_fraction,ordered_percent,helix_sheet_contrast,rco,avg_cb_distance,surface_exposure,surface_acidic_fraction,surface_basic_fraction,surface_net_charge,surface_ionizable_fraction
O67786,Caliby,0,Bacteria,Top,223,111.75610358744396,4.797745323181153,-11.351032124944696,0.1838565022421524,0.1390134529147982,-0.0569506726457399,0.085201793721973,36.25336322869954,0.0672645739910313,0.2286995515695067,0.8699551569506727,0.2062780269058295,0.1453422020358052,19.136079788208008,0.3004484304932735,0.2857142857142857,0.2184873949579832,-0.07563025210084033,0.5042016806722689
O67786,Caliby,1,Bacteria,Top,223,111.57134573991031,4.735108757019043,-14.18301879544401,0.179372197309417,0.1300448430493273,-0.0206278026905829,0.0807174887892376,44.81076233183856,0.0672645739910313,0.2286995515695067,0.8654708520179373,0.2017937219730941,0.1647593699189097,18.59468650817871,0.3004484304932735,0.2767857142857143,0.21428571428571427,-0.08035714285714286,0.4910714285714286
O67786,Caliby,2,Bacteria,Top,223,113.5597394618834,4.753069877624512,-15.166450901441678,0.2017937219730941,0.147982062780269,-0.1995515695067264,0.0941704035874439,42.82376681614349,0.0627802690582959,0.210762331838565,0.8430493273542601,0.2331838565022421,0.1558701172402614,18.466983795166016,0.3004484304932735,0.3277310924369748,0.21008403361344538,-0.12605042016806722,0.5378151260504201
O67786,Caliby,3,Bacteria,Top,223,112.95923632286996,4.966841316223144,-11.088652318922776,0.179372197309417,0.147982062780269,-0.0318385650224215,0.0896860986547085,36.343946188340794,0.0672645739910313,0.210762331838565,0.8654708520179372,0.1748878923766815,0.1087529524526751,18.53143882751465,0.3004484304932735,0.2727272727272727,0.2231404958677686,-0.05785123966942149,0.49586776859504134
O67786,Caliby,4,Bacteria,Top,223,112.3395932735426,4.982983589172362,-11.00492451149282,0.1659192825112107,0.1390134529147982,0.0394618834080717,0.0807174887892376,35.67578475336321,0.0672645739910313,0.2197309417040359,0.8161434977578474,0.3766816143497757,0.1463753866813745,19.013456344604492,0.3004484304932735,0.2605042016806723,0.226890756302521,-0.05042016806722689,0.4873949579831933
O67786,Caliby,5,Bacteria,Top,223,112.05064125560536,4.517756462097168,-19.159666632947417,0.1838565022421524,0.1121076233183856,0.0161434977578475,0.085201793721973,43.9659192825112,0.0672645739910313,0.2331838565022421,0.9013452914798208,0.2825112107623319,0.1720651404295492,17.627777099609375,0.3004484304932735,0.30303030303030304,0.1919191919191919,-0.1111111111111111,0.4949494949494949
O67786,Caliby,6,Bacteria,Top,223,111.8449856502242,4.650248146057129,-16.16633133917578,0.1838565022421524,0.1255605381165919,0.0147982062780268,0.0807174887892376,42.074439461883394,0.0672645739910313,0.2286995515695067,0.9147982062780268,0.179372197309417,0.1619892175139819,17.710186004638672,0.3004484304932735,0.3018867924528302,0.20754716981132076,-0.09433962264150944,0.5094339622641509
O67786,Caliby,7,Bacteria,Top,223,112.2935260089686,4.629501914978028,-17.07758154759293,0.1838565022421524,0.1255605381165919,0.0246636771300448,0.085201793721973,52.21614349775785,0.0672645739910313,0.2331838565022421,0.8654708520179373,0.2017937219730941,0.1651058504536448,18.530941009521484,0.3004484304932735,0.30357142857142855,0.21428571428571427,-0.09821428571428571,0.5178571428571428
Q980U8,Caliby,0,Archaea,Top,349,110.77626045845273,5.123148536682128,-10.957098261472566,0.1862464183381089,0.160458452722063,-0.3426934097421203,0.0429799426934097,30.285673352435538,0.0630372492836676,0.2406876790830945,0.7822349570200573,0.3696275071633237,0.0483213494080121,23.209396362304688,0.3008595988538682,0.2564102564102564,0.23076923076923078,-0.03418803418803419,0.48717948717948717
Q980U8,Caliby,1,Archaea,Top,349,111.276441260745,5.524147605895995,-5.885198341933382,0.1776504297994269,0.1690544412607449,-0.2696275071633238,0.0487106017191977,23.97478510028653,0.0659025787965616,0.2234957020057306,0.8080229226361031,0.2406876790830945,0.1153042046839994,23.17835807800293,0.3008595988538682,0.2549019607843137,0.2549019607843137,-0.00980392156862745,0.5098039215686274
